SampleID	Bug_ID	Microbiome_ID	County	State	CollAlive	Sp_by_key	Sex	Life_stage	Days_from_Capture_to_Dissection	Blood_meal	Days_from_Dissection_to_Extraction	Days_from_Capture_to_Extraction	MachRes1	Strain_type	Strain_TcIV	Strain_TcI
Tri536	PS243	Lect-1-F-unk	Comal	Texas	Alive	lecticularia	F	Adult	46	2	5	51	Negative	NA	NA	NA
Tri1117	PS707	Sang-M-Neg-Symp-1	Lampasas	Texas	Alive	sanguisuga	M	Adult	33	2	31	64	Negative	NA	NA	NA
Tri1193	PS783	Gerst-M-Neg-Symp-1	Bexar	Texas	Alive	gerstaeckeri	M	Adult	12	4	15	27	Negative	NA	NA	NA
Tri1246	SNBL003	Lect-2-M-Neg	Jim_Wells	Texas	Alive	lecticularia	M	Adult	34	1	3	37	Negative	NA	NA	NA
Tri1247	SNBL004	Gerst-F-Neg-Symp-1	Jim_Wells	Texas	Alive	gerstaeckeri	F	Adult	28	3	120	148	Negative	NA	NA	NA
Tri1254	SNBL011	Gerst-M-Neg-Symp-3	Jim_Wells	Texas	Alive	gerstaeckeri	M	Adult	13	4	3	16	Negative	NA	NA	NA
Tri1255	SNBL012	Gerst-F-Neg-Symp-2	Jim_Wells	Texas	Alive	gerstaeckeri	F	Adult	13	4	3	16	Negative	NA	NA	NA
Tri1256	SNBL013	Gerst-M-Neg-Symp-4	Jim_Wells	Texas	Alive	gerstaeckeri	M	Adult	13	2	3	16	Negative	NA	NA	NA
Tri1272	PS845	Gerst-M-Neg-Symp-2	Hays	Texas	Alive	gerstaeckeri	M	Adult	15	5	33	48	Negative	NA	NA	NA
Tri1317	PS887	Gerst-F-Neg-Symp-3	Bandera	Texas	Alive	gerstaeckeri	F	Adult	40	5	6	46	Negative	NA	NA	NA
Tri1319	PS889	Gerst-M-Neg-Symp-5	Bandera	Texas	Alive	gerstaeckeri	M	Adult	38	3	6	44	Negative	NA	NA	NA
Tri1324	PS894	Gerst-F-Neg-Symp-4	Bastrop	Texas	Alive	gerstaeckeri	F	Adult	28	1	13	41	Negative	NA	NA	NA
Tri1398	PS928	Gerst-M-Neg-Symp-6	Kendall	Texas	Alive	gerstaeckeri	M	Adult	19	1	100	119	Negative	NA	NA	NA
Tri1428	EL001	Gerst-F-Neg-Symp-5	Bexar	Texas	Alive	gerstaeckeri	F	Adult	10	2	39	49	Negative	NA	NA	NA
Tri1435	EL008	Gerst-F-Neg-Symp-6	Bandera	Texas	Alive	gerstaeckeri	F	Adult	10	3	40	50	Negative	NA	NA	NA
Tri1512	PS1033	Ind-4-F-Neg	Bandera	Texas	Alive	indictiva	F	Adult	26	3	16	42	Negative	NA	NA	NA
Tri1536	EL009	Gerst-M-Neg-Symp-7	Bandera	Texas	Alive	gerstaeckeri	M	Adult	13	2	58	71	Negative	NA	NA	NA
Tri1549	PS1061	Gerst-M-Neg-Symp-8	Fayette	Texas	Alive	gerstaeckeri	M	Adult	24	2	10	34	Negative	NA	NA	NA
Tri1555	PS1067	Gerst-M-Neg-Symp-9	Milam	Texas	Alive	gerstaeckeri	M	Adult	19	1	10	29	Negative	NA	NA	NA
Tri1558	PS1070	Gerst-M-Neg-Symp-10	Bandera	Texas	Alive	gerstaeckeri	M	Adult	14	1	9	23	Negative	NA	NA	NA
Tri1560	PS1072	Gerst-F-Neg-Symp-7	Travis	Texas	Alive	gerstaeckeri	F	Adult	23	1	18	41	Negative	NA	NA	NA
Tri1580	PS1092	Ind-5-F-Neg	Medina	Texas	Alive	indictiva	F	Adult	58	4	10	68	Negative	NA	NA	NA
Tri1684	PS1194	Gerst-F-Neg-Symp-8	Fayette	Texas	Alive	gerstaeckeri	F	Adult	16	3	22	38	Negative	NA	NA	NA
Tri1714	Barnes034	Sang-M-Neg-Symp-2	Uvalde	Texas	Alive	sanguisuga	M	Adult	16	2	36	52	Negative	NA	NA	NA
Tri1717	Barnes037	Gerst-F-Neg-Symp-9	Uvalde	Texas	Alive	gerstaeckeri	F	Adult	16	2	57	73	Negative	NA	NA	NA
Tri1718	Barnes038	Pro-2-M-Neg	Uvalde	Texas	Alive	protracta	M	Adult	16	1	57	73	Negative	NA	NA	NA
Tri1719	Barnes039	Sang-F-Neg-Symp-1	Uvalde	Texas	Alive	sanguisuga	F	Adult	15	2	57	72	Negative	NA	NA	NA
Tri1838	PS1284	Sang-M-Neg-Symp-4	Fayette	Texas	Alive	sanguisuga	M	Adult	11	1	6	17	Negative	NA	NA	NA
Tri1839	PS1285	Gerst-F-Neg-Symp-10	Fayette	Texas	Alive	gerstaeckeri	F	Adult	22	3	6	28	Negative	NA	NA	NA
Tri1896	PS1333	Sang-M-Neg-Symp-5	Refugio	Texas	Alive	sanguisuga	M	Adult	NA	2	11	75	Negative	NA	NA	NA
Tri2043	PS1445	Sang-F-Neg-Symp-2	Hays	Texas	Alive	sanguisuga	F	Adult	25	4	70	95	Negative	NA	NA	NA
Tri2086	PS1488	Sang-F-Neg-Symp-3	Bastrop	Texas	Alive	sanguisuga	F	Adult	38	1	18	56	Negative	NA	NA	NA
Tri2091	AZ82	Sang-F-Neg-Symp-4	Travis	Texas	Alive	sanguisuga	F	Adult	42	4	117	159	Negative	NA	NA	NA
Tri2092	AZ83	Sang-M-Neg-Symp-3	Travis	Texas	Alive	sanguisuga	M	Adult	35	1	117	152	Negative	NA	NA	NA
Tri2213	PS1595	Sang-F-Neg-Symp-5	Guadalupe	Texas	Alive	sanguisuga	F	Adult	31	2	100	131	Negative	NA	NA	NA
Tri277	Barnes023	Ind-1-M-unk	Uvalde	Texas	Alive	indictiva	M	Adult	22	2	19	41	Positive	NoSuccess	NA	NA
Tri1505	PS1026	Gerst-F-Pos-Symp-9	Bandera	Texas	Alive	gerstaeckeri	F	Adult	21	2	25	46	Positive	NoSuccess	NA	NA
Tri1851	PS1297	Sang-F-Pos-Symp-5	Bexar	Texas	Alive	sanguisuga	F	Adult	18	2	7	25	Positive	NoSuccess	NA	NA
Tri1092	PS682	Ind-3-F-Pos	Blanco	Texas	Alive	indictiva	F	Adult	17	2	43	60	Positive	TcI	n	p
Tri1094	PS684	Gerst-F-Pos-Symp-3	Bastrop	Texas	Alive	gerstaeckeri	F	Adult	25	4	48	73	Positive	TcI	n	p
Tri1264	PS837	Gerst-M-Pos-Symp-6	Medina	Texas	Alive	gerstaeckeri	M	Adult	12	2	38	50	Positive	TcI	n	p
Tri1266	PS839	Gerst-F-Pos-Symp-5	Medina	Texas	Alive	gerstaeckeri	F	Adult	12	NA	26	38	Positive	TcI	n	p
Tri1271	PS844	Gerst-F-Pos-Symp-6	Hays	Texas	Alive	gerstaeckeri	F	Adult	14	2	20	34	Positive	TcI	n	p
Tri1277	PS850	Gerst-M-Pos-Symp-7	Frio	Texas	Alive	gerstaeckeri	M	Adult	8	5	20	28	Positive	TcI	n	p
Tri1326	PS896	Gerst-F-Pos-Symp-8	Bastrop	Texas	Alive	gerstaeckeri	F	Adult	28	2	13	41	Positive	TcI	n	p
Tri1396	PS926	Gerst-M-Pos-Symp-10	Kendall	Texas	Alive	gerstaeckeri	M	Adult	16	4	14	30	Positive	TcI	n	p
Tri1482	PS1003	Gerst-M-Pos-Symp-11	Hays	Texas	Alive	gerstaeckeri	M	Adult	31	2	28	59	Positive	TcI	n	p
Tri1492	PS1013	Gerst-M-Pos-Symp-16	Blanco	Texas	Alive	gerstaeckeri	M	Adult	8	3	21	29	Positive	TcI	n	p
Tri1543	EL016	Gerst-M-Pos-Symp-15	Bandera	Texas	Alive	gerstaeckeri	M	Adult	8	3	71	79	Positive	TcI	n	p
